Institution,State,Website URL,Buyer/Seller for Private Institutions ,Percentage of Institutional Aid Without Respect to Financial Need (2022),"Percentage of Students That Chose to Enroll	
(2021)","Acceptance Rate	
(2021)",Applications (2021),Need-Based Institutional Scholarship (2022),Non-Need-Based Institutional Scholarship (2022),Total Institutional Aid 2022 (Calculation),Average Net Price (2021),"Average Net Price (Income $0-$30,000) 	 
","Average Net Price (Income $30,001-$48,000) 	 
","Average Net Price (Income $48,001-$75,000) 	 ","Average Net Price (income $75,001-$110,000) 	 ","Average Net Price (Income over $110,000) 	","Percent of UG Awarded Aid      

",Percent of First-Years Receiving Institutional Aid,Average Amount of Institutional Aid Awarded to First-Years,Public or Private,Retention Rate (2021),Four-year Graduation Rate,Six-year Graduation Rate,Admitted students,Enrolled students
Michigan State University,MI,https://www.msu.edu/,,38%,22%,83%,"50,630","$147,993,591","$92,215,696","$240,209,287","$8,738",$129,"$6,117","$12,578","$17,089","$19,612",59,54,"$10,656",Public,92,58%,82%,"42,150","9,225"
Michigan Technological University,MI,https://www.mtu.edu/,,24%,21%,86%,"8,041","$47,477,717","$14,837,943","$62,315,660","$17,826","$7,006","$8,254","$11,285","$17,629","$23,430",97,94,"$11,829",Public,85,30%,72%,"6,895","1,479"
Middle Tennessee State University,TN,www.mtsu.edu/,,63%,36%,68%,"11,244","$41,077,529","$71,461,827","$112,539,356","$12,617","$8,817","$10,499","$13,990","$16,479","$17,144",92,50,"$4,487",Public,75,30%,51%,"7,691","2,752"
Middlebury College,VT,https://www.middlebury.edu/,Seller,0%,42%,13%,"11,906","$70,703,514","$20,000","$70,723,514","$26,958","$5,105","$9,446","$13,058","$20,992","$48,846",46,52,"$47,860",Private,94,87%,94%,"1,601",680
Millersville University of Pennsylvania,PA,www.millersville.edu/,,19%,21%,96%,"6,087","$15,718,532","$3,687,050","$19,405,582","$17,995","$13,667","$14,930","$18,261","$22,020","$23,421",60,42,"$4,076",Public,75,36%,56%,"5,866","1,225"
Millsaps College,MS,www.millsaps.edu/,Buyer,31%,13%,68%,"2,220","$13,660,096","$6,236,045","$19,896,141","$23,839","$17,681","$20,123","$24,490","$27,133","$28,090",99,100,"$30,064",Private,71,66%,68%,"1,511",201
Milwaukee School of Engineering,WI,www.msoe.edu/,Mild Buyer,19%,22%,67%,"4,522","$52,917,017","$12,566,499","$65,483,516","$26,665","$15,033","$19,174","$17,842","$22,568","$30,175",97,100,"$27,273",Private,80,48%,70%,"3,017",650
Minnesota State University-Mankato,MN,https://mnsu.edu/,,32%,31%,69%,"9,859","$28,311,315","$13,620,870","$41,932,185","$15,832","$11,807","$11,808","$14,499","$18,852","$20,592",57,34,"$2,149",Public,75,28%,50%,"6,850","2,113"
Mississippi State University,MS,https://www.msstate.edu/,,25%,25%,76%,"17,707","$88,878,175","$29,190,877","$118,069,052","$16,175","$13,594","$13,155","$17,121","$19,546","$19,982",90,88,"$11,186",Public,81,40%,64%,"13,478","3,388"
Missouri State University-Springfield,MO,www.missouristate.edu/,,28%,28%,94%,"9,726","$42,083,417","$16,211,923","$58,295,340","$16,501","$12,473","$12,746","$15,281","$17,749","$19,112",64,74,"$5,619",Public,75,35%,58%,"9,128","2,562"
Missouri University of Science and Technology,MO,https://www.mst.edu/,,50%,25%,85%,"5,533","$28,506,813","$28,290,976","$56,797,789","$13,589","$8,071","$8,340","$12,597","$15,041","$15,340",84,72,"$9,508",Public,85,24%,67%,"4,725","1,188"
Monmouth University,NJ,https://www.monmouth.edu/,Buyer,18%,14%,84%,"8,208","$66,754,978","$15,073,091","$81,828,069","$29,059","$15,419","$17,862","$23,227","$29,748","$32,593",98,98,"$21,993",Private,84,64%,74%,"6,857",954
Montana State University,MT,https://www.montana.edu/,,22%,20%,73%,"26,741","$22,346,817","$6,460,936","$28,807,753","$17,305","$16,011","$16,728","$19,465","$21,962","$22,307",80,70,"$6,127",Public,76,30%,59%,"19,522","3,874"
Montclair State University,NJ,www.montclair.edu/,,9%,21%,91%,"18,691","$71,236,470","$6,814,369","$78,050,839","$12,026","$9,028","$10,565","$15,177","$19,814","$21,571",55,36,"$4,696",Public,79,45%,68%,"16,936","3,491"
Morehead State University,KY,https://moreheadstate.edu/,,58%,19%,90%,"6,922","$17,238,122","$23,624,334","$40,862,456","$10,471","$8,276","$8,959","$11,410","$14,984","$15,535",81,72,"$5,751",Public,70,28%,43%,"6,218","1,184"
Morgan State University,MD,https://www.morgan.edu/,,15%,17%,87%,"15,564","$39,849,044","$6,938,888","$46,787,932","$16,167","$12,439","$14,540","$17,809","$20,778","$19,494",83,70,"$4,615",Public,72,20%,46%,"13,557","2,326"
Mount Holyoke College,MA,https://www.mtholyoke.edu/,Mild Buyer,13%,29%,52%,"3,971","$60,399,531","$8,918,023","$69,317,554","$29,218","$7,687","$11,140","$12,235","$20,456","$30,375",100,100,"$28,024",Private,91,80%,84%,"2,077",608
Muhlenberg College,PA,www.muhlenberg.edu/,Buyer,24%,16%,68%,"4,118","$51,867,000","$16,498,000","$68,365,000","$30,920","$12,756","$14,819","$18,668","$23,916","$34,928",91,96,"$33,843",Private,92,81%,86%,"2,790",450
Murray State University,KY,www.murraystate.edu/,,41%,18%,85%,"9,144","$34,507,611","$23,924,349","$58,431,960","$11,237","$8,986","$7,928","$11,625","$14,603","$14,896",92,93,"$8,177",Public,75,34%,53%,"7,787","1,395"
New Jersey Institute of Technology,NJ,https://www.njit.edu/,,24%,17%,69%,"11,578","$57,160,765","$17,992,077","$75,152,842","$16,878","$10,517","$12,508","$16,820","$21,498","$23,665",67,67,"$11,889",Public,88,41%,70%,"8,005","1,374"
New Mexico State University-Main Campus,NM,www.nmsu.edu/,,24%,28%,57%,"12,535","$51,274,214","$16,504,666","$67,778,880","$11,397","$7,883","$9,280","$11,874","$14,032","$14,417",81,97,"$7,623",Public,72,26%,51%,"7,177","2,013"
New York Institute of Technology,NY,www.nyit.edu/,Buyer,76%,11%,80%,"10,469","$19,055,878","$61,616,510","$80,672,388","$22,739","$19,175","$18,682","$21,540","$25,749","$26,494",89,98,"$24,000",Private,77,33%,50%,"8,412",952
New York University,NY,https://www.nyu.edu/,Seller,6%,49%,13%,"95,517","$330,727,093","$21,766,787","$352,493,880","$50,991","$23,476","$24,529","$30,866","$39,359","$55,962",71,61,"$25,856",Private,94,79%,88%,"12,380","6,097"
Nicholls State University,LA,www.nicholls.edu/,,27%,45%,97%,"2,167","$26,848,512","$10,052,019","$36,900,531","$12,907","$10,905","$12,084","$14,304","$15,952","$16,710",88,48,"$4,096",Public,70,22%,44%,"2,106",958
North Carolina Central University,NC,https://www.nccu.edu/,,7%,18%,76%,"8,244","$47,019,388","$3,641,446","$50,660,834","$14,496","$13,186","$14,381","$18,435","$21,837","$23,364",88,77,"$3,233",Public,74,27%,52%,"6,267","1,130"
North Carolina State University at Raleigh,NC,www.ncsu.edu/,,21%,32%,47%,"32,998","$121,938,307","$32,786,119","$154,724,426","$14,328","$5,784","$8,687","$13,394","$19,704","$23,205",63,47,"$7,927",Public,94,59%,85%,"15,669","5,046"
North Dakota State University-Main Campus,ND,https://www.ndsu.edu/,,30%,32%,95%,"8,143","$18,794,319","$7,996,754","$26,791,073","$16,677","$13,056","$12,445","$16,595","$18,992","$19,865",80,52,"$3,755",Public,76,38%,62%,"7,773","2,491"
Northeastern University,MA,www.northeastern.edu/,Mild Buyer,30%,33%,18%,"75,244","$256,207,701","$109,697,932","$365,905,633","$38,927","$13,099","$12,743","$16,922","$25,113","$46,702",64,80,"$34,588",Private,97,0%,90%,"13,829","4,504"
Northern Arizona University,AZ,https://nau.edu/,,22%,16%,78%,"42,872","$161,169,001","$44,921,995","$206,090,996","$16,059","$10,836","$11,662","$14,736","$18,318","$19,688",91,94,"$9,449",Public,74,42%,57%,"33,592","5,297"
Northern Illinois University,IL,www.niu.edu/,,13%,14%,70%,"22,602","$70,770,038","$10,948,183","$81,718,221","$13,265","$11,594","$12,005","$14,221","$17,912","$21,046",90,90,"$5,696",Public,67,27%,48%,"15,922","2,285"
Northern Kentucky University,KY,www.nku.edu/,,67%,32%,80%,"6,637","$22,461,077","$46,564,763","$69,025,840","$7,443","$1,287","$2,609","$6,634","$10,787","$12,031",84,95,"$7,312",Public,70,28%,48%,"5,329","1,690"
Northern Michigan University,MI,https://www.nmu.edu/,,59%,32%,71%,"6,553","$12,579,577","$18,314,952","$30,894,529","$17,686","$9,869","$11,662","$15,930","$20,323","$21,454",97,99,"$4,472",Public,72,28%,50%,"4,670","1,496"
Northwest Missouri State University,MO,https://www.nwmissouri.edu/,,30%,16%,86%,"7,039","$15,875,693","$6,755,637","$22,631,330","$13,754","$10,338","$10,413","$12,300","$16,629","$17,336",80,89,"$6,089",Public,76,35%,53%,"6,024",964
Northwestern State University of Louisiana,LA,https://www.nsula.edu/,,12%,36%,96%,"3,738","$38,766,105","$5,375,138","$44,141,243","$13,500","$13,555","$13,960","$15,610","$18,141","$16,117",89,54,"$5,162",Public,64,31%,48%,"3,599","1,299"
Northwestern University,IL,www.northwestern.edu/,Seller,1%,63%,7%,"47,636","$225,807,349","$3,269,601","$229,076,950","$29,259","$8,191","$5,516","$8,669","$19,150","$45,967",57,56,"$48,023",Private,99,85%,95%,"3,321","2,086"
Nova Southeastern University,FL,www.nova.edu/,Buyer,25%,15%,93%,"11,749","$94,158,329","$30,845,933","$125,004,262","$26,530","$21,875","$24,317","$26,703","$28,324","$29,072",93,100,"$17,916",Private,78,54%,62%,"10,868","1,672"
Oakland University,MI,www.oakland.edu/,,47%,21%,92%,"10,645","$39,168,727","$35,078,368","$74,247,095","$14,316","$8,347","$9,258","$10,827","$17,603","$20,199",78,86,"$7,108",Public,73,31%,56%,"9,803","2,025"
Oberlin College,OH,www.oberlin.edu/,Buyer,25%,24%,34%,"10,597","$67,747,678","$22,648,582","$90,396,260","$44,689","$13,705","$11,869","$18,195","$25,723","$44,064",88,93,"$33,931",Private,91,77%,86%,"3,639",864
Occidental College,CA,https://www.oxy.edu/,Mild Buyer,18%,22%,38%,"6,495","$38,966,369","$8,298,441","$47,264,810","$43,047","$13,983","$13,285","$14,770","$21,467","$44,948",100,100,"$26,805",Private,92,78%,84%,"2,484",535
Ohio State University-Main Campus,OH,www.osu.edu/,,31%,25%,57%,"58,180","$211,374,563","$94,451,679","$305,826,242","$19,474","$7,759","$8,932","$14,619","$22,494","$26,051",69,70,"$10,023",Public,94,65%,87%,"33,269","8,423"
Ohio University-Main Campus,OH,https://www.ohio.edu/,,15%,19%,89%,"21,733","$75,624,740","$13,306,075","$88,930,815","$20,496","$13,944","$15,173","$19,283","$21,985","$22,649",70,99,"$6,714",Public,81,48%,66%,"19,245","3,664"
Ohio Wesleyan University,OH,https://www.owu.edu/,Buyer,30%,14%,74%,"3,641","$33,004,785","$14,216,267","$47,221,052","$25,522","$20,015","$18,083","$21,555","$22,723","$29,778",99,100,"$35,198",Private,79,60%,67%,"2,695",364
Oklahoma State University-Main Campus,OK,www.okstate.edu/,,18%,37%,68%,"16,934","$61,928,051","$13,601,130","$75,529,181","$14,603","$6,513","$7,932","$12,675","$18,101","$20,529",81,85,"$8,746",Public,83,44%,64%,"11,577","4,267"
Old Dominion University,VA,www.odu.edu/,,23%,22%,96%,"13,586","$66,833,327","$19,488,365","$86,321,692","$17,254","$13,765","$13,740","$16,577","$20,302","$22,896",58,66,"$4,386",Public,72,27%,53%,"13,074","2,899"
Pace University,NY,www.pace.edu/,Buyer,28%,10%,88%,"24,795","$100,080,150","$39,852,653","$139,932,803","$30,632","$24,483","$24,289","$26,874","$28,731","$31,680",90,98,"$28,376",Private,75,46%,58%,"21,726","2,203"
Pepperdine University,CA,www.pepperdine.edu/,Buyer,22%,16%,53%,"11,855","$66,486,561","$19,204,430","$85,690,991","$40,945","$28,304","$26,285","$27,667","$32,775","$43,673",92,96,"$34,045",Private,93,80%,89%,"6,249","1,024"
Pitzer College,CA,https://www.pitzer.edu/,Seller,2%,53%,18%,"3,676","$17,682,413","$360,927","$18,043,340","$19,153",$985,"$4,759","$3,023","$19,483","$35,754",42,41,"$35,933",Private,93,75%,83%,673,357
Plymouth State University,NH,www.plymouth.edu/,,17%,15%,92%,"6,856","$24,511,145","$4,863,190","$29,374,335","$20,145","$15,786","$16,740","$17,995","$22,230","$24,077",92,98,"$6,877",Public,64,48%,58%,"6,285",936
Pomona College,CA,www.pomona.edu/,Seller,2%,58%,7%,"11,620","$41,844,468","$750,805","$42,595,273","$17,000","$2,285","$3,508","$5,830","$12,676","$41,881",58,57,"$49,761",Private,96,89%,94%,771,451
Portland State University,OR,www.pdx.edu/,,3%,26%,98%,"6,859","$63,075,497","$1,871,212","$64,946,709","$13,015","$12,067","$12,103","$13,137","$16,965","$20,218",49,57,"$4,325",Public,76,27%,49%,"6,751","1,741"
Pratt Institute-Main,NY,https://www.pratt.edu/,Buyer ,91%,21%,68%,"7,922","$6,440,110","$67,218,785","$73,658,895","$46,486","$37,613","$40,771","$44,154","$47,948","$51,569",75,72,"$22,698",Private,88,64%,72%,"5,376","1,132"
Providence College,RI,www.providence.edu/,Mild Buyer,17%,16%,58%,"11,129","$69,412,310","$14,151,746","$83,564,056","$39,566","$19,531","$18,385","$25,189","$30,235","$46,427",70,83,"$29,744",Private,92,82%,85%,"6,453","1,040"
Purdue University Fort Wayne,IN,www.pfw.edu/,,19%,26%,83%,"6,007","$23,204,318","$5,412,491","$28,616,809","$12,333","$6,808","$8,045","$11,881","$16,001","$16,505",71,85,"$2,721",Public,57,19%,38%,"4,998","1,293"
Purdue University-Main Campus,IN,https://www.purdue.edu/,,38%,25%,69%,"59,436","$53,248,017","$32,121,539","$85,369,556","$14,619","$3,709","$2,955","$4,645","$11,870","$15,010",49,38,"$7,529",Public,91,60%,83%,"40,898","10,278"
Quinnipiac University,CT,www.qu.edu/,Buyer,34%,11%,88%,"15,722","$93,220,397","$48,695,977","$141,916,374","$38,244","$30,052","$30,318","$31,882","$36,101","$40,018",93,98,"$28,140",Private,87,73%,76%,"13,855","1,492"
Radford University,VA,https://www.radford.edu/,,9%,12%,95%,"11,291","$34,140,285","$3,349,121","$37,489,406","$16,835","$12,335","$13,135","$16,150","$20,301","$22,013",71,75,"$4,819",Public,67,40%,56%,"10,762","1,292"
Ramapo College of New Jersey,NJ,www.ramapo.edu/,,35%,19%,70%,"6,930","$16,442,347","$8,849,924","$25,292,271","$12,251","$6,453","$9,555","$14,464","$20,795","$22,372",46,39,"$7,934",Public,87,61%,72%,"4,858",900
Reed College,OR,https://www.reed.edu/,Seller,0%,16%,44%,"7,010","$39,884,485","$2,500","$39,886,985","$33,056","$14,733","$8,845","$19,868","$30,126","$44,496",54,57,"$42,992",Private,88,62%,77%,"3,071",502
Regis University,CO,https://www.regis.edu/,Buyer,21%,9%,81%,"5,959","$31,470,712","$8,518,078","$39,988,790","$27,735","$18,978","$20,203","$21,510","$26,091","$29,647",66,98,"$20,014",Private,79,56%,67%,"4,849",436
Rensselaer Polytechnic Institute,NY,www.rpi.edu/,Buyer,67%,14%,53%,"17,498","$44,811,820","$92,541,555","$137,353,375","$40,070","$18,024","$19,136","$24,779","$31,613","$41,203",87,97,"$33,093",Private,89,74%,87%,"9,277","1,322"
Rhodes College,TN,www.rhodes.edu/,Buyer,49%,20%,57%,"5,318","$35,183,844","$33,717,978","$68,901,822","$30,525","$14,649","$14,875","$23,845","$26,499","$35,698",94,97,"$33,331",Private,94,79%,82%,"3,025",592
Rice University,TX,www.rice.edu/,Seller,8%,44%,9%,"29,544","$102,470,001","$9,180,964","$111,650,965","$18,521","$5,578","$5,959","$6,320","$18,315","$46,926",64,61,"$47,455",Private,97,85%,94%,"2,802","1,226"
Rider University,NJ,www.rider.edu/,Buyer,19%,9%,82%,"8,791","$64,738,953","$15,256,735","$79,995,688","$23,781","$16,071","$17,115","$20,910","$25,683","$29,214",97,100,"$28,772",Private,77,57%,65%,"7,204",638
Roanoke College,VA,https://www.roanoke.edu/,Buyer,21%,12%,80%,"4,953","$47,402,987","$12,513,273","$59,916,260","$27,758","$19,243","$20,142","$23,298","$27,340","$33,499",100,100,"$30,538",Private,76,64%,70%,"3,981",465
Rochester Institute of Technology,NY,www.rit.edu/,Buyer ,17%,21%,71%,"21,923","$297,495,595","$60,485,591","$357,981,186","$35,012","$22,694","$23,405","$25,850","$30,260","$40,298",83,99,"$29,252",Private,88,26%,73%,"15,645","3,355"
Roger Williams University,RI,https://www.rwu.edu/,Buyer,28%,14%,91%,"8,163","$51,801,036","$20,357,559","$72,158,595","$36,537","$35,166","$35,336","$35,418","$36,870","$39,009",86,100,"$19,096",Private,81,62%,69%,"7,427","1,003"
Rollins College,FL,www.rollins.edu/,Buyer ,38%,13%,49%,"8,409","$39,791,948","$24,575,858","$64,367,806","$30,229","$14,855","$14,951","$22,329","$26,757","$36,703",80,94,"$31,076",Private,83,74%,81%,"4,094",549
Rose-Hulman Institute of Technology,IN,https://www.rose-hulman.edu/,Buyer,30%,18%,77%,"4,536","$40,878,252","$17,396,564","$58,274,816","$39,294","$27,248","$29,779","$30,013","$33,025","$41,243",98,99,"$31,393",Private,91,73%,83%,"3,511",643
Rowan University,NJ,https://www.rowan.edu/,,17%,22%,84%,"11,659","$67,990,103","$13,548,043","$81,538,146","$22,681","$17,678","$18,217","$23,470","$28,395","$28,612",63,60,"$6,076",Public,83,48%,68%,"9,767","2,191"
Rutgers University-New Brunswick,NJ,https://newbrunswick.rutgers.edu/,,21%,24%,68%,"43,161","$152,951,408","$39,917,926","$192,869,334","$11,803","$7,114","$8,637","$15,079","$21,013","$23,387",63,30,"$7,725",Public,94,67%,84%,"29,419","7,105"
Rutgers University-Newark,NJ,https://www.newark.rutgers.edu/,,14%,12%,77%,"14,456","$70,911,676","$11,731,126","$82,642,802","$11,364","$9,151","$9,712","$14,504","$21,786","$24,347",79,51,"$4,174",Public,86,34%,65%,"11,194","1,300"
Sacred Heart University,CT,https://www.sacredheart.edu/,Buyer ,38%,22%,66%,"12,663","$68,877,753","$42,011,567","$110,889,320","$43,907","$35,846","$38,263","$41,854","$44,916","$45,646",92,98,"$18,523",Private,86,67%,73%,"8,373","1,842"
Saginaw Valley State University,MI,www.svsu.edu/,,26%,29%,78%,"5,899","$30,451,384","$10,431,418","$40,882,802","$15,476","$11,209","$11,731","$14,690","$16,619","$17,846",90,96,"$5,283",Public,73,16%,48%,"4,590","1,336"
Saint Anselm College,NH,https://www.anselm.edu/,Buyer,31%,15%,78%,"4,007","$34,267,971","$15,227,995","$49,495,966","$34,450","$22,189","$27,013","$28,556","$31,488","$35,961",100,100,"$26,816",Private,89,81%,84%,"3,109",480
Saint Joseph's University,PA,https://www.sju.edu/,Buyer,30%,15%,83%,"8,119","$70,927,803","$31,018,892","$101,946,695","$33,438","$20,543","$23,564","$27,029","$28,943","$35,112",94,99,"$29,183",Private,89,75%,81%,"6,746","1,038"
Saint Leo University,FL,www.saintleo.edu/,Buyer,23%,12%,71%,"10,086","$30,539,885","$9,242,214","$39,782,099","$18,336","$14,671","$16,646","$17,624","$20,645","$22,440",71,100,"$14,901",Private,57,35%,48%,"7,127",826
Saint Louis University,MO,www.slu.edu/,Buyer ,33%,17%,70%,"15,047","$137,676,008","$66,339,129","$204,015,137","$30,096","$21,954","$22,367","$24,051","$26,850","$31,569",88,98,"$32,209",Private,89,73%,80%,"10,540","1,794"
Saint Michael's College,VT,www.smcvt.edu/,Buyer,31%,16%,86%,"2,359","$29,281,158","$13,092,541","$42,373,699","$28,979","$16,090","$18,384","$24,068","$25,410","$32,119",97,100,"$32,561",Private,86,72%,75%,"2,026",316
Saint Norbert College,WI,www.snc.edu/,Buyer,25%,17%,85%,"4,067","$29,810,030","$10,200,947","$40,010,977","$27,107","$18,330","$18,943","$22,788","$24,118","$30,934",98,100,"$23,652",Private,81,69%,72%,"3,463",584
Saint Xavier University,IL,https://www.sxu.edu/,Buyer ,65%,11%,85%,"7,780","$33,864,430","$62,357,255","$96,221,685","$13,419","$10,033","$10,758","$13,542","$17,591","$17,922",96,100,"$20,626",Private,78,39%,55%,"6,597",747
Salisbury University,MD,https://www.salisbury.edu/,,23%,18%,86%,"7,691","$21,731,350","$6,453,355","$28,184,705","$18,885","$10,674","$13,881","$18,146","$22,078","$23,337",72,71,"$4,073",Public,80,50%,69%,"6,650","1,217"
Sam Houston State University,TX,www.shsu.edu/,,6%,26%,97%,"11,556","$70,737,772","$4,327,562","$75,065,334","$14,287","$11,499","$12,258","$15,116","$20,803","$22,296",73,11,"$4,393",Public,73,34%,58%,"11,161","2,908"
Samford University,AL,www.samford.edu/,Buyer ,55%,26%,84%,"4,217","$23,031,854","$27,848,131","$50,879,985","$31,871","$22,382","$24,416","$28,936","$30,577","$34,207",95,99,"$18,614",Private,89,66%,77%,"3,537",920
San Diego State University,CA,www.sdsu.edu/,,10%,21%,38%,"67,660","$122,298,000","$14,011,900","$136,309,900","$6,867","$1,133","$2,563","$6,993","$11,030","$14,882",53,25,"$6,557",Public,90,47%,76%,"25,646","5,269"
San Jose State University,CA,www.sjsu.edu/,,0%,16%,84%,"30,441","$116,269,859","$322,517","$116,592,376","$14,603","$10,225","$11,547","$14,761","$18,441","$22,648",58,39,"$6,398",Public,89,19%,66%,"25,682","4,222"
Santa Clara University,CA,www.scu.edu/,Buyer ,34%,17%,54%,"16,848","$68,564,755","$35,356,297","$103,921,052","$48,469","$23,618","$27,708","$27,484","$35,921","$52,819",73,71,"$22,276",Private,94,88%,92%,"9,095","1,549"
Sarah Lawrence College,NY,www.sarahlawrence.edu/,Buyer,30%,17%,58%,"4,452","$31,570,726","$13,817,608","$45,388,334","$34,091","$18,317","$20,076","$21,760","$26,297","$16,435",86,90,"$34,951",Private,88,66%,72%,"2,603",438
Savannah College of Art and Design,GA,www.scad.edu/,Buyer ,47%,22%,81%,"14,914","$58,575,713","$52,195,389","$110,771,102","$45,163","$40,471","$42,399","$43,983","$46,020","$46,247",92,97,"$10,884",Private,81,58%,73%,"12,047","2,685"
Scripps College,CA,www.scrippscollege.edu/,Buyer,19%,38%,30%,"2,952","$13,815,649","$3,207,533","$17,023,182","$44,770","$17,911","$20,904","$27,584","$39,471","$53,681",90,57,"$31,230",Private,97,81%,88%,872,328
Seattle University,WA,www.seattleu.edu/,Buyer,42%,14%,82%,"8,539","$68,728,009","$49,403,676","$118,131,685","$36,671","$25,170","$27,078","$30,814","$40,351","$39,822",93,98,"$25,095",Private,85,63%,73%,"7,012",994
Siena College,NY,https://www.siena.edu/,Mild Buyer,20%,15%,83%,"8,597","$67,782,399","$17,435,477","$85,217,876","$32,810","$25,498","$26,737","$27,605","$32,636","$35,728",94,97,"$25,170",Private,82,76%,81%,"7,121","1,055"
Skidmore College,NY,www.skidmore.edu/,Seller,3%,21%,31%,"11,176","$66,759,917","$1,982,293","$68,742,210","$31,553","$11,889","$13,382","$17,195","$26,939","$42,836",55,59,"$41,044",Private,90,83%,86%,"3,419",719
Slippery Rock University of Pennsylvania,PA,https://www.sru.edu/,,33%,35%,79%,"4,936","$17,754,066","$8,619,547","$26,373,613","$12,364","$8,382","$9,533","$12,455","$16,943","$17,835",75,55,"$2,477",Public,82,55%,69%,"3,924","1,370"
Smith College,MA,www.smith.edu/,Seller,16%,37%,30%,"6,064","$71,006,893","$13,356,495","$84,363,388","$29,569","$11,678","$16,389","$18,903","$26,619","$45,455",70,70,"$41,021",Private,95,82%,87%,"1,814",676
South Dakota State University,SD,https://www.sdstate.edu/,,33%,40%,87%,"5,774","$19,148,357","$9,549,600","$28,697,957","$17,859","$13,901","$15,639","$18,038","$19,546","$19,975",64,70,"$2,971",Public,80,41%,59%,"5,048","2,019"
Southeast Missouri State University,MO,www.semo.edu/,,27%,26%,79%,"7,213","$31,007,656","$11,756,647","$42,764,303","$13,291","$10,684","$11,349","$13,232","$16,641","$17,768",89,87,"$5,800",Public,74,32%,51%,"5,720","1,487"
Southeastern Louisiana University,LA,www.southeastern.edu/,,59%,40%,99%,"5,634","$25,758,284","$36,633,263","$62,391,547","$12,891","$11,729","$12,357","$13,641","$15,641","$16,360",71,48,"$3,710",Public,64,18%,40%,"5,574","2,230"
Southeastern University,FL,https://www.seu.edu/,Buyer,17%,54%,45%,"4,940","$43,940,554","$9,059,293","$52,999,847","$27,536","$26,277","$25,292","$27,803","$30,299","$29,580",56,91,"$9,781",Private,70,32%,47%,"2,219","1,205"
Southern Illinois University-Carbondale,IL,https://siu.edu/,,19%,21%,95%,"6,987","$50,806,717","$11,653,837","$62,460,554","$15,976","$12,816","$13,989","$15,676","$18,834","$22,146",81,77,"$8,361",Public,75,32%,47%,"6,648","1,422"
Southern Illinois University-Edwardsville,IL,www.siue.edu/,,22%,23%,98%,"8,995","$49,535,622","$13,736,262","$63,271,884","$15,519","$8,120","$9,268","$13,291","$18,664","$19,869",72,99,"$4,564",Public,74,33%,52%,"8,821","1,992"
Southern Methodist University,TX,https://www.smu.edu/,Buyer,53%,19%,53%,"15,685","$74,488,465","$82,737,385","$157,225,850","$41,986","$32,478","$31,208","$31,744","$35,728","$47,278",72,74,"$34,047",Private,91,73%,81%,"8,333","1,572"
Southern New Hampshire University,NH,www.snhu.edu/,N/A,21%,41%,92%,"27,953","$13,586,442","$3,708,700","$17,295,142","$21,502","$22,903","$22,376","$23,190","$23,596","$22,741",49,39,"$7,403",Private,62,29%,35%,"25,736","10,607"
Southwestern University,TX,https://www.southwestern.edu/,Buyer,33%,15%,51%,"4,757","$30,519,649","$14,728,032","$45,247,681","$28,496","$19,315","$18,872","$22,406","$25,349","$33,253",98,100,"$26,946",Private,81,66%,73%,"2,428",355
Spelman College,GA,www.spelman.edu/,Seller,4%,14%,51%,"11,176","$26,430,573","$1,043,806","$27,474,379","$28,527","$24,944","$26,329","$29,141","$30,510","$32,570",91,96,"$7,376",Private,91,65%,75%,"5,673",794
Spring Hill College,AL,https://www.shc.edu/,Buyer,23%,14%,72%,"2,114","$8,181,231","$2,395,414","$10,576,645","$21,781","$14,620","$13,532","$20,078","$24,328","$26,939",98,100,"$31,002",Private,79,46%,57%,"1,512",216
St Lawrence University,NY,www.stlawu.edu/,Mild Buyer,21%,20%,57%,"5,217","$67,337,747","$18,408,120","$85,745,867","$31,744","$13,108","$13,358","$21,150","$25,295","$38,461",96,96,"$40,912",Private,89,76%,80%,"2,950",602
St Olaf College,MN,wp.stolaf.edu/,Mild Buyer,14%,25%,47%,"6,494","$95,573,044","$16,204,296","$111,777,340","$27,729","$9,478","$12,602","$13,712","$20,589","$33,481",98,100,"$34,823",Private,91,82%,85%,"3,080",755
St. John's College,MD,www.sjc.edu/,Mild Buyer,22%,27%,53%,967,"$7,247,949","$2,103,221","$9,351,170","$29,431","$15,265","$16,836","$26,557","$33,837","$38,252",94,88,"$18,014",Private,81,64%,66%,514,139
St. John's University-New York,NY,www.stjohns.edu/,Buyer ,68%,13%,85%,"23,658","$113,123,570","$239,587,660","$352,711,230","$26,655","$22,313","$23,664","$24,681","$24,818","$29,180",64,100,"$25,774",Private,82,47%,64%,"20,143","2,715"
Stanford University,CA,www.stanford.edu/,Seller,5%,80%,4%,"55,471","$175,594,603","$8,737,663","$184,332,266","$14,402","-$1,975","-$4,196","-$1,270","$9,562","$42,108",65,60,"$54,057",Private,98,74%,95%,"2,190","1,757"
State University of New York at New Paltz,NY,www.newpaltz.edu/,,7%,20%,46%,"12,482","$20,627,468","$1,589,748","$22,217,216","$15,318","$10,562","$14,236","$18,584","$20,584","$24,137",60,62,"$2,647",Public,82,61%,76%,"5,759","1,133"
Stephen F Austin State University,TX,https://www.sfasu.edu/,,23%,26%,83%,"7,811","$37,828,751","$11,489,356","$49,318,107","$16,819","$11,244","$12,046","$14,735","$19,626","$23,009",80,52,"$4,600",Public,76,34%,54%,"6,493","1,713"
